Monastero di Vasco comune,Monastero di Vasco comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Franco Bosio (lista civica)
Territorio,Territorio
Coordinate,44°20′N 7°49′E
Altitudine,508 m s.l.m.
Superficie,"17,44 km²"
Abitanti,1 257[1] (30-11-2025)
Densità,"72,08 ab./km²"
Frazioni,"Bertolini Soprani, Bertolini Sottani, Malborgo, Roapiana, Roggeri, Vasco, Gallizzi, Dane, Baracca, Turchi, Villero, Morere, Marenchi, Pagliani, Niere, Comini di Vasco, Vivalda, Oberti."
Comuni confinanti,"Frabosa Soprana, Frabosa Sottana, Mondovì, Montaldo di Mondovì, Vicoforte, Villanova Mondovì"
Altre informazioni,Altre informazioni
Cod. postale,12080
Prefisso,0174
Fuso orario,UTC+1
Codice ISTAT,004126
Cod. catastale,F326
Targa,CN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 780 GG[3]"
Nome abitanti,monasteresi
Patrono,santi Pietro e Paolo
Giorno festivo,8 settembre
Cartografia,Cartografia
Monastero di Vasco,Monastero di Vasco
Monastero di Vasco – MappaPosizione di Monastero di Vasco nella provincia di Cuneo,Monastero di Vasco – MappaPosizione di Monastero di Vasco nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
