Monterosso Grana comune,Monterosso Grana comune.1
,
Monterosso Grana – VedutaPanorama,Monterosso Grana – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Stefano Isaia (Bourgat in comune) dal 12-06-2022
Territorio,Territorio
Coordinate,44°25′N 7°19′E
Altitudine,720 m s.l.m.
Superficie,"42,22 km²"
Abitanti,547[1] (30-11-2025)
Densità,"12,96 ab./km²"
Frazioni,"Frise, Armandi Ollasca, Colletto, Comba, Endrio, Gallo, Oggeri, Partia, Quagna, Russa, Santa Lucia, Serredellamendia, Villa San Pietro"
Comuni confinanti,"Castelmagno, Demonte, Dronero, Montemale di Cuneo, Pradleves, Rittana, Valgrana, Valloriate"
Altre informazioni,Altre informazioni
Cod. postale,12020
Prefisso,0171
Fuso orario,UTC+1
Codice ISTAT,004139
Cod. catastale,F608
Targa,CN
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona F, 3 208 GG[3]"
Nome abitanti,"monterossesi, bourgatei in occitano"
Patrono,san Giacomo
Giorno festivo,25 luglio
Cartografia,Cartografia
Monterosso Grana,Monterosso Grana
Monterosso Grana – MappaPosizione del comune di Monterosso Grana nella provincia di Cuneo,Monterosso Grana – MappaPosizione del comune di Monterosso Grana nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
