Scagnello comune,Scagnello comune.1
,
Scagnello – Veduta,Scagnello – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Daniele Garelli (lista civica) dal 27-5-2019
Territorio,Territorio
Coordinate,44°20′N 7°59′E
Altitudine,748 m s.l.m.
Superficie,"9,39 km²"
Abitanti,166[1] (30-11-2025)
Densità,"17,68 ab./km²"
Comuni confinanti,"Battifollo, Ceva, Lisio, Mombasiglio, Monasterolo Casotto"
Altre informazioni,Altre informazioni
Cod. postale,12070
Prefisso,0174
Fuso orario,UTC+1
Codice ISTAT,004216
Cod. catastale,I484
Targa,CN
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 3 243 GG[3]"
Nome abitanti,scagnellesi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Scagnello,Scagnello
Scagnello – MappaPosizione di Scagnello nella provincia di Cuneo,Scagnello – MappaPosizione di Scagnello nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
