Cherasco comune,Cherasco comune.1
,
Cherasco – VedutaArco del Belvedere,Cherasco – VedutaArco del Belvedere
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Claudio Bogetti (lista civica) dall'11-06-2024
Territorio,Territorio
Coordinate,44°39′N 7°52′E
Altitudine,288 m s.l.m.
Superficie,"81,54 km²"
Abitanti,9 699[1] (30-11-2025)
Densità,"118,95 ab./km²"
Frazioni,"Bricco de' Faule, Cappellazzo, Corno, San Bartolomeo, Meane, Picchi, Roreto, San Giovanni, San Gregorio, San Martino, Sant'Antonino, Veglia"
Comuni confinanti,"Bra, Cavallermaggiore, Cervere, La Morra, Marene, Narzole, Salmour"
Altre informazioni,Altre informazioni
Cod. postale,12062
Prefisso,0172
Fuso orario,UTC+1
Codice ISTAT,004067
Cod. catastale,C599
Targa,CN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 612 GG[3]"
Nome abitanti,cheraschesi
Patrono,"Cristo risorto, san Virginio, sant'Euflamia"
Giorno festivo,secondo lunedì dopo Pasqua
Motto,Urbs firmissima pacis
Cartografia,Cartografia
Cherasco,Cherasco
Cherasco – MappaPosizione del comune di Cherasco nella provincia di Cuneo,Cherasco – MappaPosizione del comune di Cherasco nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
