Caramagna Piemonte comune,Caramagna Piemonte comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Francesco Emanuel (lista civica) dal 5-10-21
Territorio,Territorio
Coordinate,44°47′N 7°44′E
Altitudine,257 m s.l.m.
Superficie,"26,33 km²"
Abitanti,3 017[1] (30-11-2025)
Densità,"114,58 ab./km²"
Frazioni,"Caporali, Gabrielassi, Gangaglietti, Tetti Sotto, Tre Ponti"
Comuni confinanti,"Carmagnola (TO), Racconigi, Sommariva del Bosco"
Altre informazioni,Altre informazioni
Cod. postale,12030
Prefisso,0172
Fuso orario,UTC+1
Codice ISTAT,004041
Cod. catastale,B720
Targa,CN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 573 GG[3]"
Nome abitanti,caramagnesi
Patrono,san Biagio
Giorno festivo,3 febbraio
Motto,Concordia et Constantia
Cartografia,Cartografia
Caramagna Piemonte,Caramagna Piemonte
Caramagna Piemonte – MappaPosizione di Caramagna Piemonte in provincia di Cuneo,Caramagna Piemonte – MappaPosizione di Caramagna Piemonte in provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
