Castelletto Stura comune,Castelletto Stura comune.1
,
Castelletto Stura – VedutaIl centro del paese,Castelletto Stura – VedutaIl centro del paese
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Alessandro Dacomo (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,44°27′N 7°38′E
Altitudine,447 m s.l.m.
Superficie,"17,13 km²"
Abitanti,1 376[1] (30-11-2025)
Densità,"80,33 ab./km²"
Frazioni,"Motta, Riforano e Tetti Pesio"
Comuni confinanti,"Centallo, Cuneo, Montanera, Morozzo"
Altre informazioni,Altre informazioni
Cod. postale,12040
Prefisso,0171
Fuso orario,UTC+1
Codice ISTAT,004049
Cod. catastale,C165
Targa,CN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 869 GG[3]"
Nome abitanti,castellettesi
Patrono,san Magno[non chiaro]
Giorno festivo,19 agosto
Cartografia,Cartografia
Castelletto Stura,Castelletto Stura
Castelletto Stura – MappaPosizione di Castelletto Stura nella provincia di Cuneo,Castelletto Stura – MappaPosizione di Castelletto Stura nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
