Macra comune,Macra comune.1
,
Macra – VedutaPanorama,Macra – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Valerio Carsetti (lista civica) dal 26-5-2014
Territorio,Territorio
Coordinate,44°30′00.9″N 7°10′41.95″E
Altitudine,875 m s.l.m.
Superficie,"24,66 km²"
Abitanti,42[1] (30-11-2025)
Densità,"1,7 ab./km²"
Frazioni,"Albaretto, Camoglieres"
Comuni confinanti,"Celle di Macra, Marmora, Sampeyre, San Damiano Macra, Stroppo"
Altre informazioni,Altre informazioni
Cod. postale,12020
Prefisso,0171
Fuso orario,UTC+1
Codice ISTAT,004112
Cod. catastale,E789
Targa,CN
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona F, 3 400 GG[3]"
Nome abitanti,macresi
Patrono,Papa Marcellino
Giorno festivo,26 aprile
Cartografia,Cartografia
Macra,Macra
Macra – MappaPosizione di Macra nella provincia di Cuneo,Macra – MappaPosizione di Macra nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
