Clavesana comune,Clavesana comune.1
,
"Clavesana – VedutaPanorama, sulla sinistra il borgo storico","Clavesana – VedutaPanorama, sulla sinistra il borgo storico"
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Luigi Gallo (lista civica) dall'8-6-2009 (3º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,44°29′03″N 7°54′42″E
Altitudine,300 m s.l.m.
Superficie,"17,15 km²"
Abitanti,774[1] (30-11-2025)
Densità,"45,13 ab./km²"
Frazioni,"Ansaldi, Capoluogo (sede del municipio),Chiecchi, Costa Prà, Cravili, Feia, Gai, Gerino, Ghigliani, Gorea, La Possa, Madonna della Neve (sede degli uffici comunali), Palazzetto, Prato del Pozzo, San Bartolomeo, San Pietro, Sbaranzo, Surie, Tetti, Villero"
Comuni confinanti,"Bastia Mondovì, Belvedere Langhe, Carrù, Cigliè, Farigliano, Marsaglia, Murazzano, Rocca Cigliè"
Altre informazioni,Altre informazioni
Cod. postale,12060
Prefisso,0173
Fuso orario,UTC+1
Codice ISTAT,004071
Cod. catastale,C792
Targa,CN
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 687 GG[3]"
Nome abitanti,clavesanesi
Patrono,Madonna della Neve (già Madona 'd gere)
Giorno festivo,5 agosto
Cartografia,Cartografia
Clavesana,Clavesana
Clavesana – MappaPosizione di Clavesana nella provincia di Cuneo,Clavesana – MappaPosizione di Clavesana nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
