Monticello d'Alba comune,Monticello d'Alba comune.1
,
Monticello d'Alba – VedutaVeduta,Monticello d'Alba – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Andrea Luigi Lanzone (lista civica) dal 10-06-2024
Territorio,Territorio
Coordinate,44°43′N 7°57′E
Altitudine,320 m s.l.m.
Superficie,"10,24 km²"
Abitanti,2 328[1] (30-11-2025)
Densità,"227,34 ab./km²"
Frazioni,"Surie, Borgo, Casà, Sant'Antonio, Valdozza, Villa"
Comuni confinanti,"Alba, Corneliano d'Alba, Pocapaglia, Roddi, Santa Vittoria d'Alba, Sommariva Perno"
Altre informazioni,Altre informazioni
Cod. postale,12066
Prefisso,0173
Fuso orario,UTC+1
Codice ISTAT,004142
Cod. catastale,F669
Targa,CN
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 651 GG[3]"
Nome abitanti,monticellesi
Patrono,san Felice
Giorno festivo,30 agosto
Cartografia,Cartografia
Monticello d'Alba,Monticello d'Alba
Monticello d'Alba – MappaTerritorio comunale di Monticello d'Alba nella provincia di Cuneo,Monticello d'Alba – MappaTerritorio comunale di Monticello d'Alba nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
