Paroldo comune,Paroldo comune.1
,
Paroldo – VedutaVeduta,Paroldo – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Pietro Carlo Adami (lista civica) dall'8-6-2009 (3º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,44°26′N 8°04′E
Altitudine,640 m s.l.m.
Superficie,"12,43 km²"
Abitanti,183[1] (30-11-2025)
Densità,"14,72 ab./km²"
Comuni confinanti,"Ceva, Mombarcaro, Murazzano, Roascio, Sale San Giovanni, Torresina"
Altre informazioni,Altre informazioni
Cod. postale,12070
Prefisso,0174
Fuso orario,UTC+1
Codice ISTAT,004160
Cod. catastale,G339
Targa,CN
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 3 109 GG[3]"
Nome abitanti,paroldesi
Patrono,Beata Vergine Addolorata
Giorno festivo,15 settembre
Cartografia,Cartografia
Paroldo,Paroldo
Paroldo – MappaPosizione di Paroldo nella provincia di Cuneo,Paroldo – MappaPosizione di Paroldo nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
