Mango comune,Mango comune.1
,
Mango – VedutaVeduta del paese,Mango – VedutaVeduta del paese
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Massimo Marello (lista civica) dal 27-5-2019
Territorio,Territorio
Coordinate,44°41′N 8°09′E
Altitudine,023&lingua=ita Dato Istat - Popolazione residente al 30 aprile 2 023 (dato provvisorio). m s.l.m.
Superficie,"20,03 km²"
Abitanti,1 231[1] (30-11-2025)
Densità,"61,46 ab./km²"
Frazioni,"Bosi, Riforno, San Donato, Romanino,"
Comuni confinanti,"Castino, Coazzolo (AT), Cossano Belbo, Neive, Neviglie, Rocchetta Belbo, Santo Stefano Belbo, Trezzo Tinella"
Altre informazioni,Altre informazioni
Cod. postale,12056
Prefisso,0141
Fuso orario,UTC+1
Codice ISTAT,004115
Cod. catastale,E887
Targa,CN
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 961 GG[3]"
Nome abitanti,manghesi
Patrono,san Cristoforo
Giorno festivo,25 luglio
Cartografia,Cartografia
Mango,Mango
Mango – MappaPosizione di Mango nella provincia di Cuneo,Mango – MappaPosizione di Mango nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
