Sanfront comune,Sanfront comune.1
,
Sanfront – VedutaIl centro del paese,Sanfront – VedutaIl centro del paese
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Francesco Lombardo (lista civica) dal 26-5-2025
Territorio,Territorio
Coordinate,44°39′N 7°19′E
Altitudine,"490 (min 423 - max 1,743) m s.l.m."
Superficie,"39,71 km²"
Abitanti,2 255[1] (30-11-2025)
Densità,"56,79 ab./km²"
Comuni confinanti,"Barge, Brossasco, Envie, Gambasca, Paesana, Rifreddo, Sampeyre"
Altre informazioni,Altre informazioni
Cod. postale,12030
Prefisso,0175
Fuso orario,UTC+1
Codice ISTAT,004209
Cod. catastale,H852
Targa,CN
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona E, 2 923 GG[3]"
Nome abitanti,sanfrontesi
Patrono,Maria Vergine Assunta e San Martino
Giorno festivo,11 novembre
Cartografia,Cartografia
Sanfront,Sanfront
Sanfront – MappaPosizione di Sanfront nella provincia di Cuneo,Sanfront – MappaPosizione di Sanfront nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
