Prunetto comune,Prunetto comune.1
,
Prunetto – VedutaCastello,Prunetto – VedutaCastello
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Luigi Costa (lista civica) dal 16-5-2011
Territorio,Territorio
Coordinate,44°29′N 8°09′E
Altitudine,750 m s.l.m.
Superficie,"14,36 km²"
Abitanti,369[1] (30-11-2025)
Densità,"25,7 ab./km²"
Frazioni,"Colombi, Lisinotti, Moglie, Sotto la Rocca, Sulite"
Comuni confinanti,"Castelletto Uzzone, Gorzegno, Gottasecca, Levice, Mombarcaro, Monesiglio"
Altre informazioni,Altre informazioni
Cod. postale,12070
Prefisso,0174
Fuso orario,UTC+1
Codice ISTAT,004178
Cod. catastale,H085
Targa,CN
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 3 245 GG[3]"
Nome abitanti,prunettesi
Cartografia,Cartografia
Prunetto,Prunetto
Prunetto – MappaPosizione di Prunetto nella provincia di Cuneo,Prunetto – MappaPosizione di Prunetto nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
