Garessio comune,Garessio comune.1
,
Garessio – VedutaIl centro storico,Garessio – VedutaIl centro storico
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Luciano Sciandra (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,44°12′N 8°01′E
Altitudine,621 m s.l.m.
Superficie,"131,29 km²"
Abitanti,2 837[1] (30-11-2025)
Densità,"21,61 ab./km²"
Frazioni,"Cappello, Cerisola, Deversi, Garessio 2000, Mindino, Mursecco, Pianbernardo, Piangranone, Trappa, Valdinferno"
Comuni confinanti,"Bardineto (SV), Calizzano (SV), Castelvecchio di Rocca Barbena (SV), Erli (SV), Nasino (SV), Ormea, Pamparato, Priola, Roburent, Viola"
Altre informazioni,Altre informazioni
Cod. postale,12075
Prefisso,0174
Fuso orario,UTC+1
Codice ISTAT,004095
Cod. catastale,D920
Targa,CN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 085 GG[3]"
Nome abitanti,garessini
Patrono,"san Rocco, compatrono Madonna del Rosario"
Cartografia,Cartografia
Garessio,Garessio
Garessio – MappaPosizione del comune di Garessio nella provincia di Cuneo,Garessio – MappaPosizione del comune di Garessio nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
