Sale San Giovanni comune,Sale San Giovanni comune.1
,
"Sale San Giovanni – VedutaVista della Villa, zona della pieve","Sale San Giovanni – VedutaVista della Villa, zona della pieve"
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Costantino Germone (lista civica) dal 26-5-2014
Data di istituzione,2-3-1948
Territorio,Territorio
Coordinate,44°24′00.12″N 8°04′43.41″E
Altitudine,615 m s.l.m.
Superficie,"8,07 km²"
Abitanti,153[1] (30-11-2025)
Densità,"18,96 ab./km²"
Comuni confinanti,"Camerana, Ceva, Mombarcaro, Paroldo, Sale delle Langhe"
Altre informazioni,Altre informazioni
Cod. postale,12070
Prefisso,0174
Fuso orario,UTC+1
Codice ISTAT,004200
Cod. catastale,H704
Targa,CN
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 3 078 GG[3]"
Nome abitanti,salesi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Sale San Giovanni,Sale San Giovanni
Sale San Giovanni – MappaPosizione di Sale San Giovanni nella provincia di Cuneo,Sale San Giovanni – MappaPosizione di Sale San Giovanni nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
