Albaretto della Torre comune,Albaretto della Torre comune.1
,
Albaretto della Torre – VedutaVeduta della strada provinciale in una cartolina d'epoca.,Albaretto della Torre – VedutaVeduta della strada provinciale in una cartolina d'epoca.
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Luca Borgna (lista civica) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,44°36′N 8°04′E
Altitudine,672 m s.l.m.
Superficie,"4,59 km²"
Abitanti,206[1] (30-11-2025)
Densità,"44,88 ab./km²"
Frazioni,"Borine, Lesme, Sant'Antonino, Tre Cunei"
Comuni confinanti,"Arguello, Cerretto Langhe, Lequio Berria, Rodello, Sinio"
Altre informazioni,Altre informazioni
Cod. postale,12050
Prefisso,0173
Fuso orario,UTC+1
Codice ISTAT,004004
Cod. catastale,A139
Targa,CN
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 3 148 GG[3]"
Nome abitanti,albarettesi
Patrono,san Sebastiano
Giorno festivo,20 gennaio
Cartografia,Cartografia
Albaretto della Torre,Albaretto della Torre
Albaretto della Torre – MappaPosizione di Albaretto della Torre nella provincia di Cuneo,Albaretto della Torre – MappaPosizione di Albaretto della Torre nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
