Priocca comune,Priocca comune.1
,
Priocca – VedutaIl centro di Priocca,Priocca – VedutaIl centro di Priocca
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,"Enrica Ponte (lista civica Per Priocca- Tradizione, Impegno, Futuro) dal 9-06-2024, 1º mandato"
Territorio,Territorio
Coordinate,44°47′N 8°04′E
Altitudine,253 m s.l.m.
Superficie,"9,03 km²"
Abitanti,2 012[1] (30-11-2025)
Densità,"222,81 ab./km²"
Comuni confinanti,"Canale, Castellinaldo d'Alba, Govone, Magliano Alfieri, San Damiano d'Asti (AT)"
Altre informazioni,Altre informazioni
Cod. postale,12040
Prefisso,0173
Fuso orario,UTC+1
Codice ISTAT,004176
Cod. catastale,H068
Targa,CN
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 482 GG[3]"
Nome abitanti,priocchesi
Patrono,santo Stefano
Giorno festivo,26 dicembre
Cartografia,Cartografia
Priocca,Priocca
Priocca – MappaPosizione del comune di Priocca nella provincia di Cuneo,Priocca – MappaPosizione del comune di Priocca nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
