Bossolasco comune,Bossolasco comune.1
,
Bossolasco – VedutaIl municipio,Bossolasco – VedutaIl municipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Franco Grosso (lista civica) dal 26-5-2014
Territorio,Territorio
Coordinate,44°32′N 8°03′E
Altitudine,800 m s.l.m.
Superficie,"14,55 km²"
Abitanti,664[1] (30-11-2025)
Densità,"45,64 ab./km²"
Frazioni,Bossolaschetto
Comuni confinanti,"Bonvicino, Cissone, Dogliani, Feisoglio, Murazzano, Niella Belbo, San Benedetto Belbo, Serravalle Langhe, Somano"
Altre informazioni,Altre informazioni
Cod. postale,12060
Prefisso,0173
Fuso orario,UTC+1
Codice ISTAT,004027
Cod. catastale,B084
Targa,CN
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 3 254 GG[3]"
Nome abitanti,bossolaschesi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Bossolasco,Bossolasco
Bossolasco – MappaPosizione di Bossolasco nella provincia di Cuneo,Bossolasco – MappaPosizione di Bossolasco nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
