Niella Belbo comune,Niella Belbo comune.1
,
Niella Belbo – VedutaVeduta,Niella Belbo – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Emanuele Sottimano (lista civica Insieme per Niella) dal 27-5-2019
Territorio,Territorio
Coordinate,44°31′N 8°05′E
Altitudine,785 m s.l.m.
Superficie,"11,52 km²"
Abitanti,311[1] (30-11-2025)
Densità,27 ab./km²
Comuni confinanti,"Bossolasco, Feisoglio, Gorzegno, Mombarcaro, San Benedetto Belbo"
Altre informazioni,Altre informazioni
Cod. postale,12050
Prefisso,0173
Fuso orario,UTC+1
Codice ISTAT,004150
Cod. catastale,F894
Targa,CN
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 3 288 GG[3]"
Nome abitanti,niellesi
Patrono,san Giorgio
Giorno festivo,23 aprile
Cartografia,Cartografia
Niella Belbo,Niella Belbo
Niella Belbo – MappaPosizione di Niella Belbo nella provincia di Cuneo,Niella Belbo – MappaPosizione di Niella Belbo nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
