Cuneo comune,Cuneo comune.1
Città di Cuneo,Città di Cuneo
,
Cuneo – VedutaPiazza Galimberti a Cuneo,Cuneo – VedutaPiazza Galimberti a Cuneo
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Patrizia Manassero (PD) dal 4-7-2022
Territorio,Territorio
Coordinate,44°23′N 7°33′E
Altitudine,534 m s.l.m.
Superficie,"119,67 km²"
Abitanti,55 748[1] (30-11-2025)
Densità,"465,85 ab./km²"
Frazioni,vedi sezione
Comuni confinanti,"Beinette, Borgo San Dalmazzo, Boves, Busca, Caraglio, Castelletto Stura, Centallo, Cervasca, Morozzo, Peveragno, Tarantasca, Vignolo"
Altre informazioni,Altre informazioni
Cod. postale,12100
Prefisso,0171
Fuso orario,UTC+1
Codice ISTAT,004078
Cod. catastale,D205
Targa,CN
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona F, 3 012 GG[3]"
Nome abitanti,Cuneesi
Patrono,"san Michele arcangelo, beato Angelo Carletti (protettore)"
Giorno festivo,29 settembre
Soprannome,"Il Capoluogo della Granda, La Città dei sette Assedi[4]."
Motto,"Ferendo (dal latino ""portando"")"
Cartografia,Cartografia
Cuneo,Cuneo
Cuneo – MappaPosizione del comune di Cuneo nell'omonima provincia.,Cuneo – MappaPosizione del comune di Cuneo nell'omonima provincia.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
