Bastia Mondovì comune,Bastia Mondovì comune.1
,
Bastia Mondovì – VedutaVeduta,Bastia Mondovì – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Francesco Rocca (lista civica) dal 13-5-2022
Territorio,Territorio
Coordinate,44°27′N 7°54′E
Altitudine,294 m s.l.m.
Superficie,12 km²
Abitanti,630[1] (30-11-2025)
Densità,"52,5 ab./km²"
Frazioni,"Alfieri, Bonde, Braia, Bricco, Cantonata, Carpenea, Chionetti, Coste, Deiso, Feia, Fossaretto, Fratti, Gallo, Gattera, Gava, Ghesio, Isola, Lavoruzzo, Le Torri, Minetti Soprani, Minetti Sottani, Mirabello, Montechiaro, Murazze, Oderda, Paradiso, Perosi, Pianmezzano, Pieve, Rocche, San Fiorenzo, Scarpito, Sciolle, Stazione, Valle Ellero, Villero"
Comuni confinanti,"Carrù, Cigliè, Clavesana, Mondovì"
Altre informazioni,Altre informazioni
Cod. postale,12060
Prefisso,0174
Fuso orario,UTC+1
Codice ISTAT,004014
Cod. catastale,A709
Targa,CN
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 680 GG[3]"
Nome abitanti,bastiesi
Patrono,san Fiorenzo
Giorno festivo,4 maggio
Cartografia,Cartografia
Bastia Mondovì,Bastia Mondovì
Bastia Mondovì – MappaPosizione di Bastia Mondovì nella provincia di Cuneo,Bastia Mondovì – MappaPosizione di Bastia Mondovì nella provincia di Cuneo
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
