Farigliano comune,Farigliano comune.1
,
Farigliano – VedutaVeduta,Farigliano – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Ivano Airaldi (lista civica) dal 27-5-2019
Territorio,Territorio
Coordinate,44°31′N 7°55′E
Altitudine,263 m s.l.m.
Superficie,"16,44 km²"
Abitanti,1 690[1] (30-11-2025)
Densità,"102,8 ab./km²"
Frazioni,"Calcinera, Mellea Soprana, Mellea Sottana, Moncucco, Naviante, Spinardi, Viaiano"
Comuni confinanti,"Belvedere Langhe, Carrù, Clavesana, Dogliani, Lequio Tanaro, Piozzo"
Altre informazioni,Altre informazioni
Cod. postale,12060
Prefisso,0173
Fuso orario,UTC+1
Codice ISTAT,004086
Cod. catastale,D499
Targa,CN
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 641 GG[3]"
Nome abitanti,fariglianesi
Patrono,san Nicola
Giorno festivo,6 dicembre
Cartografia,Cartografia
Farigliano,Farigliano
Farigliano – MappaPosizione di Farigliano nella provincia di Cuneo,Farigliano – MappaPosizione di Farigliano nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
