Sommariva del Bosco comune,Sommariva del Bosco comune.1
,
"Sommariva del Bosco – VedutaLa ""somma riva"" delle colline del Roero, il castello e la chiesa parrocchiale","Sommariva del Bosco – VedutaLa ""somma riva"" delle colline del Roero, il castello e la chiesa parrocchiale"
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Marco Pedussia (lista civica) dal 13-6-2022
Territorio,Territorio
Coordinate,44°46′N 7°47′E
Altitudine,298 m s.l.m.
Superficie,"35,42 km²"
Abitanti,6 283[1] (30-11-2025)
Densità,"177,39 ab./km²"
Frazioni,"Agostinassi, Gabrielassi, Grangia, Maniga, Paolorio, Pessine, Ricchiardo, Tavelle"
Comuni confinanti,"Baldissero d'Alba, Caramagna Piemonte, Carmagnola (TO), Cavallermaggiore, Ceresole d'Alba, Racconigi, Sanfrè, Sommariva Perno"
Altre informazioni,Altre informazioni
Cod. postale,12048
Prefisso,0172
Fuso orario,UTC+1
Codice ISTAT,004222
Cod. catastale,I822
Targa,CN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 624 GG[3]"
Nome abitanti,sommarivesi
Patrono,Beata Vergine
Giorno festivo,6 maggio
Motto,Bellicosa Sabauda Fides
Cartografia,Cartografia
Sommariva del Bosco,Sommariva del Bosco
Sommariva del Bosco – MappaTerritorio comunale di Sommariva del Bosco nella provincia di Cuneo,Sommariva del Bosco – MappaTerritorio comunale di Sommariva del Bosco nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
