Borgo San Dalmazzo comune,Borgo San Dalmazzo comune.1
,
Borgo San Dalmazzo – VedutaPanorama di Borgo San Dalmazzo dal belvedere della chiesa della Madonna di Monserrato,Borgo San Dalmazzo – VedutaPanorama di Borgo San Dalmazzo dal belvedere della chiesa della Madonna di Monserrato
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Roberta Robbione (lista civica Uniti per Borgo) dal 13-6-2022
Territorio,Territorio
Coordinate,44°20′N 7°29′E
Altitudine,636 m s.l.m.
Superficie,"22,34 km²"
Abitanti,12 614[1] (30-11-2025)
Densità,"564,64 ab./km²"
Frazioni,"Beguda, Cascina Bruna, Cascina Fioretti, Borgo Nuovo/Gesù Lavoratore, Madonna Bruna (Aradolo-La Bruna), Sant'Antonio Aradolo, Tetto Albaretti, Tetto Turutun Sottano, Martinetto del Rame (Crocetta)"
Comuni confinanti,"Boves, Cuneo, Gaiola, Moiola, Roccasparvera, Roccavione, Valdieri, Vignolo"
Altre informazioni,Altre informazioni
Cod. postale,12011
Prefisso,0171
Fuso orario,UTC+1
Codice ISTAT,004025
Cod. catastale,B033
Targa,CN
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona F, 3 104 GG[3]"
Nome abitanti,borgarini
Patrono,Dalmazzo di Pedona
Giorno festivo,5 dicembre
Motto,Deo duce victor eris
Cartografia,Cartografia
Borgo San Dalmazzo,Borgo San Dalmazzo
Borgo San Dalmazzo – MappaPosizione del comune di Borgo San Dalmazzo nella provincia di Cuneo,Borgo San Dalmazzo – MappaPosizione del comune di Borgo San Dalmazzo nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
