Pocapaglia comune,Pocapaglia comune.1
,
Pocapaglia – VedutaPanorama,Pocapaglia – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Roberto Testa (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,44°42′N 7°53′E
Altitudine,381 m s.l.m.
Superficie,"17,48 km²"
Abitanti,3 315[1] (30-11-2025)
Densità,"189,65 ab./km²"
Frazioni,"America dei Boschi, Macellai, Saliceto, Tarable"
Comuni confinanti,"Bra, Monticello d'Alba, Sanfrè, Santa Vittoria d'Alba, Sommariva Perno"
Altre informazioni,Altre informazioni
Cod. postale,12060
Prefisso,0172
Fuso orario,UTC+1
Codice ISTAT,004170
Cod. catastale,G742
Targa,CN
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 727 GG[3]"
Nome abitanti,pocapagliesi
Patrono,san Giusto
Giorno festivo,penultima domenica di agosto
Cartografia,Cartografia
Pocapaglia,Pocapaglia
Pocapaglia – MappaTerritorio comunale di Pocapaglia nella provincia di Cuneo,Pocapaglia – MappaTerritorio comunale di Pocapaglia nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
