Frassino comune,Frassino comune.1
,
Frassino – VedutaFrassino all'alba,Frassino – VedutaFrassino all'alba
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Bernardino Matteodo (lista civica) dal 16-5-2011
Territorio,Territorio
Coordinate,44°34′N 7°17′E
Altitudine,750 m s.l.m.
Superficie,"17,01 km²"
Abitanti,251[1] (30-11-2025)
Densità,"14,76 ab./km²"
Frazioni,"Borgata Meyra La Ca, San Maurizio, Borgata Grande, Vittone, Chiaronto, Campo Soprano"
Comuni confinanti,"Brossasco, Melle, Sampeyre, San Damiano Macra"
Altre informazioni,Altre informazioni
Cod. postale,12020
Prefisso,0175
Fuso orario,UTC+1
Codice ISTAT,004092
Cod. catastale,D782
Targa,CN
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona F, 3 245 GG[3]"
Nome abitanti,frassinesi
Patrono,santo Stefano
Cartografia,Cartografia
Frassino,Frassino
Frassino – MappaPosizione di Frassino nella provincia di Cuneo,Frassino – MappaPosizione di Frassino nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
