Vignolo comune,Vignolo comune.1
,
Vignolo – Veduta,Vignolo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Danilo Bernardi (lista civica) dal 26-5-2014
Territorio,Territorio
Coordinate,44°21′49.1″N 7°28′19.49″E
Altitudine,630 m s.l.m.
Superficie,"7,94 km²"
Abitanti,2 690[1] (30-11-2025)
Densità,"338,79 ab./km²"
Comuni confinanti,"Borgo San Dalmazzo, Cervasca, Cuneo, Roccasparvera"
Altre informazioni,Altre informazioni
Cod. postale,12010
Prefisso,0171
Fuso orario,UTC+1
Codice ISTAT,004243
Cod. catastale,L888
Targa,CN
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona F, 3 096 GG[3]"
Nome abitanti,vignolini
Patrono,san Costanzo
Giorno festivo,22 settembre
Cartografia,Cartografia
Vignolo,Vignolo
Vignolo – MappaPosizione del comune di Vignolo nella provincia di Cuneo.,Vignolo – MappaPosizione del comune di Vignolo nella provincia di Cuneo.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
