Monteu Roero comune,Monteu Roero comune.1
,
Monteu Roero – VedutaChiesa di San Nicolao,Monteu Roero – VedutaChiesa di San Nicolao
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Paolo Rosso (lista civica) dal 10-06-2024
Territorio,Territorio
Coordinate,44°47′N 7°56′E
Altitudine,395 m s.l.m.
Superficie,"24,7 km²"
Abitanti,1 582[1] (30-11-2025)
Densità,"64,05 ab./km²"
Frazioni,"Sant’Anna, Tre Rivi, Occhetti, San Vincenzo, San Grato, San Bernardo, Capelli e Virani"
Comuni confinanti,"Canale, Ceresole d'Alba, Montaldo Roero, Pralormo (TO), Santo Stefano Roero, Vezza d'Alba"
Altre informazioni,Altre informazioni
Cod. postale,12040
Prefisso,0173
Fuso orario,UTC+1
Codice ISTAT,004140
Cod. catastale,F654
Targa,CN
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 805 GG[3]"
Nome abitanti,monteacutesi
Patrono,san Nicola
Giorno festivo,6 dicembre
Cartografia,Cartografia
Monteu Roero,Monteu Roero
Monteu Roero – MappaTerritorio comunale di Monteu Roero nella provincia di Cuneo,Monteu Roero – MappaTerritorio comunale di Monteu Roero nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
