Belvedere Langhe comune,Belvedere Langhe comune.1
,
Belvedere Langhe – VedutaVeduta,Belvedere Langhe – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Cartosio Biagina (lista civica) dal 26-5-2019
Territorio,Territorio
Coordinate,44°30′N 7°58′E
Altitudine,639 m s.l.m.
Superficie,5 km²
Abitanti,333[1] (30-11-2025)
Densità,"66,6 ab./km²"
Frazioni,Piangarumbo
Comuni confinanti,"Bonvicino, Clavesana, Dogliani, Farigliano, Murazzano"
Altre informazioni,Altre informazioni
Cod. postale,12060
Prefisso,0173
Fuso orario,UTC+1
Codice ISTAT,004018
Cod. catastale,A774
Targa,CN
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 3 107 GG[3]"
Nome abitanti,belvederesi
Patrono,san Nicola
Giorno festivo,6 dicembre
PIL procapite,(nominale) 145000 €
Cartografia,Cartografia
Belvedere Langhe,Belvedere Langhe
Belvedere Langhe – MappaPosizione di Belvedere Langhe nella provincia di Cuneo,Belvedere Langhe – MappaPosizione di Belvedere Langhe nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
