Borgomale comune,Borgomale comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Marco Grasso (lista civica Castello di Borgomale) dal 27-5-2019
Territorio,Territorio
Coordinate,44°37′N 8°08′E
Altitudine,471 m s.l.m.
Superficie,"8,48 km²"
Abitanti,373[1] (30-11-2025)
Densità,"43,99 ab./km²"
Frazioni,Montemarino
Comuni confinanti,"Alba, Benevello, Bosia, Castino, Lequio Berria, Trezzo Tinella"
Altre informazioni,Altre informazioni
Cod. postale,12050
Prefisso,0173
Fuso orario,UTC+1
Codice ISTAT,004024
Cod. catastale,B018
Targa,CN
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 899 GG[3]"
Nome abitanti,borgomalesi
Patrono,Madonna del Carmine
Giorno festivo,14 agosto
Cartografia,Cartografia
Borgomale,Borgomale
Borgomale – MappaPosizione di Borgomale nella provincia di Cuneo,Borgomale – MappaPosizione di Borgomale nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
