Valgrana comune,Valgrana comune.1
,
Valgrana – Veduta,Valgrana – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Albino Arlotto (lista civica) dall'8-6-2009 (3º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,44°25′N 7°23′E
Altitudine,642 m s.l.m.
Superficie,"23,1 km²"
Abitanti,784[1] (30-11-2025)
Densità,"33,94 ab./km²"
Frazioni,"Arlotto, Biut, Bottonasco, Cavaliggi, Masineri, San Matteo, Sant'Anna"
Comuni confinanti,"Bernezzo, Caraglio, Montemale di Cuneo, Monterosso Grana, Rittana"
Altre informazioni,Altre informazioni
Cod. postale,12020
Prefisso,0171
Fuso orario,UTC+1
Codice ISTAT,004234
Cod. catastale,L580
Targa,CN
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona F, 3 111 GG[3]"
Nome abitanti,valgranesi
Patrono,san Martino
Giorno festivo,11 novembre
Cartografia,Cartografia
Valgrana,Valgrana
Valgrana – MappaPosizione di Valgrana nella provincia di Cuneo,Valgrana – MappaPosizione di Valgrana nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
