Torre Bormida comune,Torre Bormida comune.1
,
Torre Bormida – Veduta,Torre Bormida – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Andrea Rizzolo (lista civica) dal 26-5-2014
Territorio,Territorio
Coordinate,44°34′N 8°09′E
Altitudine,391 m s.l.m.
Superficie,"7,18 km²"
Abitanti,190[1] (30-11-2025)
Densità,"26,46 ab./km²"
Comuni confinanti,"Bergolo, Bosia, Cortemilia, Cravanzana, Feisoglio, Levice"
Altre informazioni,Altre informazioni
Cod. postale,12070
Prefisso,0173
Fuso orario,UTC+1
Codice ISTAT,004226
Cod. catastale,L252
Targa,CN
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 800 GG[3]"
Nome abitanti,torrebormidesi
Patrono,santa Maria Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Torre Bormida,Torre Bormida
Torre Bormida – MappaPosizione di Torre Bormida nella provincia di Cuneo,Torre Bormida – MappaPosizione di Torre Bormida nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
