La Morra comune,La Morra comune.1
,
La Morra – VedutaPanorama,La Morra – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Marialuisa Ascheri (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,44°38′N 7°56′E
Altitudine,513 m s.l.m.
Superficie,"24,17 km²"
Abitanti,2 628[1] (30-11-2025)
Densità,"108,73 ab./km²"
Frazioni,"Annunziata, Berri, Rivalta, Santa Maria"
Comuni confinanti,"Alba, Barolo, Bra, Castiglione Falletto, Cherasco, Narzole, Roddi, Verduno"
Altre informazioni,Altre informazioni
Cod. postale,12064
Prefisso,0173
Fuso orario,UTC+1
Codice ISTAT,004105
Cod. catastale,E430
Targa,CN
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 951 GG[3]"
Nome abitanti,lamorresi
Patrono,san Martino
Giorno festivo,11 novembre
Cartografia,Cartografia
La Morra,La Morra
La Morra – MappaPosizione di La Morra nella provincia di Cuneo,La Morra – MappaPosizione di La Morra nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
