Perlo comune,Perlo comune.1
,
Perlo – VedutaVeduta,Perlo – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Enzo Garelli (lista civica) dal 26-5-2024
Territorio,Territorio
Coordinate,44°20′N 8°05′E
Altitudine,697 m s.l.m.
Superficie,"10,21 km²"
Abitanti,105[1] (30-11-2025)
Densità,"10,28 ab./km²"
Frazioni,Perletta
Comuni confinanti,"Bagnasco, Ceva, Massimino (SV), Murialdo (SV), Nucetto, Priero"
Altre informazioni,Altre informazioni
Cod. postale,12070
Prefisso,0174
Fuso orario,UTC+1
Codice ISTAT,004162
Cod. catastale,G458
Targa,CN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 179 GG[3]"
Nome abitanti,perlesi
Patrono,san Michele Arcangelo
Giorno festivo,29 settembre
Cartografia,Cartografia
Perlo,Perlo
Perlo – MappaPosizione di Perlo nella provincia di Cuneo,Perlo – MappaPosizione di Perlo nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
