Torre Mondovì comune,Torre Mondovì comune.1
,
Torre Mondovì – Veduta,Torre Mondovì – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Gianrenzo Taravello (lista civica) dall'8-6-2009 (3º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,44°21′N 7°54′E
Altitudine,460 m s.l.m.
Superficie,"18,54 km²"
Abitanti,524[1] (30-11-2025)
Densità,"28,26 ab./km²"
Frazioni,Roatta
Comuni confinanti,"Monasterolo Casotto, Montaldo di Mondovì, Pamparato, Roburent, San Michele Mondovì, Vicoforte"
Altre informazioni,Altre informazioni
Cod. postale,12080
Prefisso,0174
Fuso orario,UTC+1
Codice ISTAT,004227
Cod. catastale,L241
Targa,CN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 885 GG[3]"
Nome abitanti,torresi
Patrono,san Gottardo di Hildesheim
Giorno festivo,2 maggio
Cartografia,Cartografia
Torre Mondovì,Torre Mondovì
Torre Mondovì – MappaPosizione di Torre Mondovì in provincia di Cuneo,Torre Mondovì – MappaPosizione di Torre Mondovì in provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
