Manta comune,Manta comune.1
,
Manta – Veduta,Manta – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Ivana Margherita Casale (lista civica) dal 9-6-2024
Territorio,Territorio
Coordinate,44°37′N 7°29′E
Altitudine,400 m s.l.m.
Superficie,"11,73 km²"
Abitanti,3 879[1] (30-11-2025)
Densità,"330,69 ab./km²"
Frazioni,"Gerbola, Mattone"
Comuni confinanti,"Lagnasco, Pagno, Saluzzo, Verzuolo"
Altre informazioni,Altre informazioni
Cod. postale,12030
Prefisso,0175
Fuso orario,UTC+1
Codice ISTAT,004116
Cod. catastale,E894
Targa,CN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 814 GG[3]"
Nome abitanti,mantesi
Patrono,san Leone Magno
Giorno festivo,ultima domenica di agosto
Cartografia,Cartografia
Manta,Manta
Manta – MappaPosizione del comune di Manta nella provincia di Cuneo,Manta – MappaPosizione del comune di Manta nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
