Vicoforte comune,Vicoforte comune.1
,
Vicoforte – VedutaVista sul paese: al centro il santuario,Vicoforte – VedutaVista sul paese: al centro il santuario
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Gian Pietro Gasco (lista civica) dal 16-5-2023
Territorio,Territorio
Coordinate,44°22′N 7°51′E
Altitudine,598 m s.l.m.
Superficie,"25,74 km²"
Abitanti,3 196[1] (30-11-2025)
Densità,"124,16 ab./km²"
Frazioni,"Fiamenga, Moline, San Grato, Vicoforte"
Comuni confinanti,"Briaglia, Monastero di Vasco, Mondovì, Montaldo di Mondovì, Niella Tanaro, San Michele Mondovì, Torre Mondovì"
Altre informazioni,Altre informazioni
Cod. postale,12080
Prefisso,0174
Fuso orario,UTC+1
Codice ISTAT,004242
Cod. catastale,L841
Targa,CN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 891 GG[3]"
Nome abitanti,vicesi
Patrono,san Teobaldo Roggeri
Giorno festivo,1º giugno e 8 settembre
Cartografia,Cartografia
Vicoforte,Vicoforte
Vicoforte – MappaPosizione di Vicoforte nella provincia di Cuneo,Vicoforte – MappaPosizione di Vicoforte nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
