Roascio comune,Roascio comune.1
,
Roascio – VedutaVeduta,Roascio – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Aldo Minazzo (lista civica) dall'8-6-2009 (3º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,44°25′N 8°02′E
Altitudine,458 m s.l.m.
Superficie,"6,42 km²"
Abitanti,82[1] (30-11-2025)
Densità,"12,77 ab./km²"
Comuni confinanti,"Castellino Tanaro, Ceva, Igliano, Paroldo, Torresina"
Altre informazioni,Altre informazioni
Cod. postale,12073
Prefisso,0174
Fuso orario,UTC+1
Codice ISTAT,004184
Cod. catastale,H363
Targa,CN
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 883 GG[3]"
Nome abitanti,roascesi
Patrono,Immacolata Concezione
Giorno festivo,8 dicembre
Cartografia,Cartografia
Roascio,Roascio
Roascio – MappaPosizione di Roascio nella provincia di Cuneo,Roascio – MappaPosizione di Roascio nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
