Vottignasco comune,Vottignasco comune.1
,
Vottignasco – Veduta,Vottignasco – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Valentina Bono (lista civica) dal 9-6-2024 (3º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,44°34′N 7°35′E
Altitudine,380 m s.l.m.
Superficie,"8,09 km²"
Abitanti,505[1] (30-11-2025)
Densità,"62,42 ab./km²"
Comuni confinanti,"Savigliano, Villafalletto"
Altre informazioni,Altre informazioni
Cod. postale,12020
Prefisso,0171
Fuso orario,UTC+1
Codice ISTAT,004250
Cod. catastale,M136
Targa,CN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 892 GG[3]"
Nome abitanti,vottignaschesi
Patrono,Madonna del Bosco
Giorno festivo,24 giugno
Motto,Fervet opus
Cartografia,Cartografia
Vottignasco,Vottignasco
Vottignasco – MappaPosizione di Vottignasco nella provincia di Cuneo,Vottignasco – MappaPosizione di Vottignasco nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
