Rocca de' Baldi comune,Rocca de' Baldi comune.1
,
Rocca de' Baldi – VedutaPanorama,Rocca de' Baldi – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Porfido Alfonso (lista civica) dal 9-6-24 (3º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,44°25′46.2″N 7°44′51″E
Altitudine,414 m s.l.m.
Superficie,"26,40[1] km²"
Abitanti,1 617[2] (30-11-2025)
Densità,"61,25 ab./km²"
Comuni confinanti,"Magliano Alpi, Mondovì, Morozzo, Sant'Albano Stura"
Altre informazioni,Altre informazioni
Cod. postale,12047
Prefisso,0174
Fuso orario,UTC+1
Codice ISTAT,004189
Cod. catastale,H395
Targa,CN
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 828 GG[4]"
Nome abitanti,roccadebaldesi
Patrono,san Magno
Giorno festivo,terza domenica d'agosto
Cartografia,Cartografia
Rocca de' Baldi,Rocca de' Baldi
Rocca de' Baldi – MappaPosizione di Rocca de' Baldi nella provincia di Cuneo,Rocca de' Baldi – MappaPosizione di Rocca de' Baldi nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
