Verzuolo comune,Verzuolo comune.1
,
Verzuolo – Veduta,Verzuolo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Giampiero Pettiti (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,44°36′N 7°29′E
Altitudine,420 m s.l.m.
Superficie,"26,13 km²"
Abitanti,6 496[1] (30-11-2025)
Densità,"248,6 ab./km²"
Frazioni,"Chiamina, Falicetto, Papò, Pomerolo, San Bernardo, Villanovetta"
Comuni confinanti,"Costigliole Saluzzo, Lagnasco, Manta, Pagno, Piasco, Venasca, Savigliano, Villafalletto"
Altre informazioni,Altre informazioni
Cod. postale,12039
Prefisso,0175
Fuso orario,UTC+1
Codice ISTAT,004240
Cod. catastale,L804
Targa,CN
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona E, 2 834 GG[3]"
Nome abitanti,verzuolesi
Cartografia,Cartografia
Verzuolo,Verzuolo
Verzuolo – MappaPosizione di Verzuolo nella provincia di Cuneo,Verzuolo – MappaPosizione di Verzuolo nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
