Somano comune,Somano comune.1
,
Somano – Veduta,Somano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Claudio Paolazzo (lista civica) dal 26-5-2014
Territorio,Territorio
Coordinate,44°32′N 8°00′E
Altitudine,516 m s.l.m.
Superficie,"11,69 km²"
Abitanti,322[1] (30-11-2025)
Densità,"27,54 ab./km²"
Frazioni,"Albere, Altavilla, Costalunga, Curine, Fossati, Garombo, Manzoni, Peisino, Ruatalunga, Sant'Antonio"
Comuni confinanti,"Bonvicino, Bossolasco, Dogliani"
Altre informazioni,Altre informazioni
Cod. postale,12060
Prefisso,0173
Fuso orario,UTC+1
Codice ISTAT,004221
Cod. catastale,I817
Targa,CN
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 955 GG[3]"
Nome abitanti,somanesi
Patrono,San Luigi
Giorno festivo,21 giugno
Cartografia,Cartografia
Somano,Somano
Somano – MappaPosizione di Somano nella provincia di Cuneo,Somano – MappaPosizione di Somano nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
