Cassina Valsassina comune,Cassina Valsassina comune.1
,
Cassina Valsassina – Veduta,Cassina Valsassina – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lecco
Amministrazione,Amministrazione
Sindaco,Polvara Michele (lista civica) dal 10-06-2024
Territorio,Territorio
Coordinate,45°54′55.22″N 9°29′07.18″E
Altitudine,849 m s.l.m.
Superficie,"2,72 km²"
Abitanti,547[1] (30-11-2025)
Densità,"201,1 ab./km²"
Frazioni,Mezzacca[2]
Comuni confinanti,"Barzio, Cremeno, Moggio, Morterone"
Altre informazioni,Altre informazioni
Cod. postale,23817
Prefisso,0341
Fuso orario,UTC+1
Codice ISTAT,097018
Cod. catastale,C024
Targa,LC
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona F, 3 272 GG[4]"
Nome abitanti,cassinesi
Cartografia,Cartografia
Cassina Valsassina,Cassina Valsassina
Cassina Valsassina – MappaPosizione del comune di Cassina Valsassina nella provincia di Lecco,Cassina Valsassina – MappaPosizione del comune di Cassina Valsassina nella provincia di Lecco
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
