Montevecchia comune,Montevecchia comune.1
,
Montevecchia – Veduta,Montevecchia – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lecco
Amministrazione,Amministrazione
Sindaco,Ivan Pendeggia (lista civica) dal 3-10-2021
Territorio,Territorio
Coordinate,45°42′N 9°23′E
Altitudine,479 m s.l.m.
Superficie,"5,92 km²"
Abitanti,2 681[1] (30-11-2025)
Densità,"452,87 ab./km²"
Frazioni,"Ostizza, Spiazzolo, Valfredda Località: Brughé, Ceresé, Palazzetto, Passone, Pertevano, Piazza-Ghisalba, Quattro Strade"
Comuni confinanti,"Cernusco Lombardone, La Valletta Brianza, Merate, Missaglia, Olgiate Molgora, Osnago"
Altre informazioni,Altre informazioni
Cod. postale,23874
Prefisso,039
Fuso orario,UTC+1
Codice ISTAT,097053
Cod. catastale,F657
Targa,LC
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 750 GG[3]"
Nome abitanti,montevecchini
Patrono,Martirio di san Giovanni Battista
Giorno festivo,29 agosto
Cartografia,Cartografia
Montevecchia,Montevecchia
Montevecchia – MappaPosizione del comune di Montevecchia nella provincia di Lecco,Montevecchia – MappaPosizione del comune di Montevecchia nella provincia di Lecco
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
