Sirone comune,Sirone comune.1
,
Sirone – Veduta,Sirone – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lecco
Amministrazione,Amministrazione
Sindaco,Emanuele De Capitani (lista civica Uniti per Sirone)
Territorio,Territorio
Coordinate,45°46′32.4″N 9°19′24.36″E
Altitudine,280 m s.l.m.
Superficie,"3,21 km²"
Abitanti,2 333[1] (30-11-2025)
Densità,"726,79 ab./km²"
Frazioni,"San Benedetto, Rettola, Berta, Scoruscio, Chiarello, Pascolo"
Comuni confinanti,"Barzago, Dolzago, Garbagnate Monastero, Molteno, Oggiono"
Altre informazioni,Altre informazioni
Cod. postale,23844
Prefisso,031
Fuso orario,UTC+1
Codice ISTAT,097075
Cod. catastale,I759
Targa,LC
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 457 GG[3]"
Nome abitanti,sironesi
Patrono,san Carlo Borromeo
Giorno festivo,4 novembre
Cartografia,Cartografia
Sirone,Sirone
Sirone – MappaPosizione del comune di Sirone nella provincia di Lecco,Sirone – MappaPosizione del comune di Sirone nella provincia di Lecco
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
