Esino Lario comune,Esino Lario comune.1
,
Esino Lario – VedutaLa conca di Esino Lario circondata dalla Grigna. In basso il Lago di Como.,Esino Lario – VedutaLa conca di Esino Lario circondata dalla Grigna. In basso il Lago di Como.
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lecco
Amministrazione,Amministrazione
Sindaco,Pietro Pensa (lista civica Stella alpina) dal 1-6-2015
Data di istituzione,1927
Territorio,Territorio
Coordinate,45°59′38″N 9°19′59″E
Altitudine,910 m s.l.m.
Superficie,"18,05 km²"
Abitanti,750[1] (30-11-2025)
Densità,"41,55 ab./km²"
Frazioni,Bigallo e Ortanella (storicamente vi erano due paesi – Esino Inferiore e Esino Superiore – divenuti un unico comune nel 1927)
Comuni confinanti,"Cortenova, Lierna, Mandello del Lario, Parlasco, Pasturo, Perledo, Primaluna, Taceno, Varenna"
Altre informazioni,Altre informazioni
Cod. postale,23825
Prefisso,0341
Fuso orario,UTC+1
Codice ISTAT,097035
Cod. catastale,D436
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 3 362 GG[3]"
Nome abitanti,esinesi
Patrono,san Vittore Martire
Giorno festivo,8 maggio
Cartografia,Cartografia
Esino Lario,Esino Lario
Esino Lario – MappaPosizione del comune di Esino Lario nella provincia di Lecco,Esino Lario – MappaPosizione del comune di Esino Lario nella provincia di Lecco
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
