Civate comune,Civate comune.1
,
Civate – VedutaPanoramica di Civate,Civate – VedutaPanoramica di Civate
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lecco
Amministrazione,Amministrazione
Sindaco,Angelo Isella (lista civica) dal 26-5-2019
Territorio,Territorio
Coordinate,45°50′N 9°21′E
Altitudine,269 m s.l.m.
Superficie,"9,27 km²"
Abitanti,3 720[1] (30-11-2025)
Densità,"401,29 ab./km²"
Frazioni,"Isella, Pozzo, Scola, Tozio"
Comuni confinanti,"Annone di Brianza, Canzo (CO), Cesana Brianza, Galbiate, Suello, Valmadrera"
Altre informazioni,Altre informazioni
Cod. postale,23862
Prefisso,0341
Fuso orario,UTC+1
Codice ISTAT,097022
Cod. catastale,C752
Targa,LC
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 452 GG[3]"
Nome abitanti,civatesi
Patrono,san Vito
Giorno festivo,15 giugno
Cartografia,Cartografia
Civate,Civate
Civate – MappaPosizione del comune di Civate nella provincia di Lecco,Civate – MappaPosizione del comune di Civate nella provincia di Lecco
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
