Olgiate Molgora comune,Olgiate Molgora comune.1
,
Olgiate Molgora – VedutaPanorama dal Monte di Brianza,Olgiate Molgora – VedutaPanorama dal Monte di Brianza
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lecco
Amministrazione,Amministrazione
Sindaco,Giovanni Battista Bernocco (Olgiate rinasce) dal 6-6-2016
Territorio,Territorio
Coordinate,45°44′N 9°24′E
Altitudine,287 m s.l.m.
Superficie,"7,09 km²"
Abitanti,6 414[1] (30-11-2025)
Densità,"904,65 ab./km²"
Frazioni,"Beolco, Borlengo, Buttero, Canova, Monastirolo, Mondonico, Monticello, Olcellera, Olgiate Vecchio, Pianezzo, Pilata, Porchera, Regondino, San Zeno, Vallicelli, Valmara"
Comuni confinanti,"Airuno, Brivio, Calco, Colle Brianza, La Valletta Brianza, Merate, Montevecchia, Santa Maria Hoè"
Altre informazioni,Altre informazioni
Cod. postale,23887
Prefisso,039
Fuso orario,UTC+1
Codice ISTAT,097058
Cod. catastale,G026
Targa,LC
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 477 GG[3]"
Nome abitanti,olgiatesi
Patrono,san Zenone
Giorno festivo,12 aprile
Cartografia,Cartografia
Olgiate Molgora,Olgiate Molgora
Olgiate Molgora – MappaPosizione del comune di Olgiate Molgora nella provincia di Lecco,Olgiate Molgora – MappaPosizione del comune di Olgiate Molgora nella provincia di Lecco
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
