Perledo comune,Perledo comune.1
,
Perledo – Veduta,Perledo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lecco
Amministrazione,Amministrazione
Sindaco,Fabio Festorazzi (lista civica) dal 5-6-2016
Territorio,Territorio
Coordinate,46°01′N 9°18′E
Altitudine,395 m s.l.m.
Superficie,"13,68 km²"
Abitanti,829[1] (30-11-2025)
Densità,"60,6 ab./km²"
Frazioni,"Bologna, Cestaglia, Gisazio, Gittana (con Riva di Gittana), Regoledo, Regolo, Tondello, Vezio con Caravino, Olivedo, Portone, Panighetto e Campallo"
Comuni confinanti,"Bellano, Esino Lario, Parlasco, Varenna e mediante il lago con Menaggio (CO) e San Siro (CO)"
Altre informazioni,Altre informazioni
Cod. postale,23828
Prefisso,0341
Fuso orario,UTC+1
Codice ISTAT,097067
Cod. catastale,G456
Targa,LC
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 630 GG[3]"
Nome abitanti,Perledesi
Patrono,Martino di Tours
Cartografia,Cartografia
Perledo,Perledo
Perledo – MappaPosizione del comune di Perledo nella provincia di Lecco,Perledo – MappaPosizione del comune di Perledo nella provincia di Lecco
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
