Ballabio comune,Ballabio comune.1
,
Ballabio – VedutaChiesa di Santa Maria Assunta,Ballabio – VedutaChiesa di Santa Maria Assunta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lecco
Amministrazione,Amministrazione
Sindaco,Giovanni Bruno Bussola (lista civica) dal 22-9-2020
Territorio,Territorio
Coordinate,45°54′N 9°25′E
Altitudine,661-750 m s.l.m.
Superficie,"15,04 km²"
Abitanti,4 178[1] (30-11-2025)
Densità,"277,79 ab./km²"
Frazioni,"Colle Balisio, Ballabio Sotto, Ballabio Sopra, Resinelli"
Comuni confinanti,"Abbadia Lariana, Cremeno, Lecco, Mandello del Lario, Morterone, Pasturo"
Altre informazioni,Altre informazioni
Cod. postale,23811
Prefisso,0341
Fuso orario,UTC+1
Codice ISTAT,097004
Cod. catastale,A594
Targa,LC
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 014 GG[3]"
Nome abitanti,ballabiesi
Patrono,san Lorenzo
Cartografia,Cartografia
Ballabio,Ballabio
Ballabio – MappaPosizione del comune di Ballabio nella provincia di Lecco,Ballabio – MappaPosizione del comune di Ballabio nella provincia di Lecco
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
