Garbagnate Monastero comune,Garbagnate Monastero comune.1
,
Garbagnate Monastero – Veduta,Garbagnate Monastero – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lecco
Amministrazione,Amministrazione
Sindaco,Colombo Mauro (lista civica)
Territorio,Territorio
Coordinate,45°46′N 9°18′E
Altitudine,300 m s.l.m.
Superficie,"3,5 km²"
Abitanti,2 503[1] (30-11-2025)
Densità,"715,14 ab./km²"
Frazioni,"Brongio Alto, Brongio Basso, Vallestella, Tregiorgio, Ruscolo, Fornaci"
Comuni confinanti,"Barzago, Bulciago, Costa Masnaga, Molteno, Sirone"
Altre informazioni,Altre informazioni
Cod. postale,23846
Prefisso,031
Fuso orario,UTC+1
Codice ISTAT,097037
Cod. catastale,D913
Targa,LC
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 494 GG[3]"
Nome abitanti,"garbagnatesi, brongesi"
Patrono,San Bernardo
PIL,"(nominale) 123,56"
Cartografia,Cartografia
Garbagnate Monastero,Garbagnate Monastero
Garbagnate Monastero – MappaPosizione del comune di Garbagnate Monastero nella provincia di Lecco,Garbagnate Monastero – MappaPosizione del comune di Garbagnate Monastero nella provincia di Lecco
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
