Primaluna comune,Primaluna comune.1
,
Primaluna – Veduta,Primaluna – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lecco
Amministrazione,Amministrazione
Sindaco,Mauro Artusi (lista civica) dall'8-6-2009
Territorio,Territorio
Coordinate,45°59′28.13″N 9°25′38.34″E
Altitudine,558 m s.l.m.
Superficie,"22,43 km²"
Abitanti,2 266[1] (30-11-2025)
Densità,"101,03 ab./km²"
Frazioni,"Barcone, Cortabbio, Gero, Pessina, Vimogno, Primaluna Centro (Pieve)."
Comuni confinanti,"Casargo, Cortenova, Crandola Valsassina, Esino Lario, Introbio, Pasturo, Premana"
Altre informazioni,Altre informazioni
Cod. postale,23819
Prefisso,0341
Fuso orario,UTC+1
Codice ISTAT,097070
Cod. catastale,H063
Targa,LC
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 862 GG[3]"
Nome abitanti,primalunesi
Patrono,santi Pietro e Paolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Primaluna,Primaluna
Primaluna – MappaPosizione del comune di Primaluna nella provincia di Lecco,Primaluna – MappaPosizione del comune di Primaluna nella provincia di Lecco
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
