Santa Maria Hoè comune,Santa Maria Hoè comune.1
,
Santa Maria Hoè – Veduta,Santa Maria Hoè – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lecco
Amministrazione,Amministrazione
Sindaco,Efrem Brambilla (lista civica) dal 6-6-2016
Territorio,Territorio
Coordinate,45°45′N 9°22′E
Altitudine,371 (da 321 a 612) m s.l.m.
Superficie,"2,83 km²"
Abitanti,2 075[1] (30-11-2025)
Densità,"733,22 ab./km²"
Frazioni,"Alduno, Bosco, Hoè, Tremonte"
Comuni confinanti,"Castello di Brianza, Colle Brianza, La Valletta Brianza, Olgiate Molgora"
Altre informazioni,Altre informazioni
Cod. postale,23889
Prefisso,039
Fuso orario,UTC+1
Codice ISTAT,097074
Cod. catastale,I243
Targa,LC
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 596 GG[3]"
Nome abitanti,santamarianesi
Cartografia,Cartografia
Santa Maria Hoè,Santa Maria Hoè
Santa Maria Hoè – MappaPosizione del comune di Santa Maria Hoè nella provincia di Lecco,Santa Maria Hoè – MappaPosizione del comune di Santa Maria Hoè nella provincia di Lecco
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
