Cernusco Lombardone comune,Cernusco Lombardone comune.1
,
Cernusco Lombardone – Veduta,Cernusco Lombardone – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lecco
Amministrazione,Amministrazione
Sindaco,Gennaro Toto (lista civica) dal 4-10-2021
Territorio,Territorio
Coordinate,45°42′N 9°24′E
Altitudine,267 m s.l.m.
Superficie,"3,74 km²"
Abitanti,3 832[1] (30-11-2025)
Densità,"1 024,6 ab./km²"
Frazioni,"Cavigiolo, Fontanella, Moscoretto, Moscoro, Paravino"
Comuni confinanti,"Merate, Montevecchia, Osnago, Olgiate Molgora"
Altre informazioni,Altre informazioni
Cod. postale,23870
Prefisso,039
Fuso orario,UTC+1
Codice ISTAT,097020
Cod. catastale,C521
Targa,LC
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 449 GG[3]"
Nome abitanti,cernuschesi
Patrono,"san Giovanni Battista, santa Maria del Rosario (compatrono)"
Giorno festivo,24 giugno
Cartografia,Cartografia
Cernusco Lombardone,Cernusco Lombardone
Cernusco Lombardone – MappaPosizione del comune di Cernusco Lombardone nella provincia di Lecco,Cernusco Lombardone – MappaPosizione del comune di Cernusco Lombardone nella provincia di Lecco
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
