Morterone comune,Morterone comune.1
,
Morterone – Veduta,Morterone – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lecco
Amministrazione,Amministrazione
Sindaco,Lorenzo Turiddu (Conservatore) dal 4-10-2021
Territorio,Territorio
Coordinate,45°52′26″N 9°28′58″E
Altitudine,1 070 m s.l.m.
Superficie,"13,71 km²"
Abitanti,31[1] (30-11-2025)
Densità,"2,26 ab./km²"
Frazioni,nessuna[2]; vedi elenco località
Comuni confinanti,"Ballabio, Brumano (BG), Cassina Valsassina, Cremeno, Lecco, Moggio, Vedeseta (BG)"
Altre informazioni,Altre informazioni
Cod. postale,23811
Prefisso,0341
Fuso orario,UTC+1
Codice ISTAT,097055
Cod. catastale,F758
Targa,LC
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona F, 3 592 GG[4]"
Nome abitanti,morteronesi
Patrono,Assunzione di Maria
Giorno festivo,15 agosto
Cartografia,Cartografia
Morterone,Morterone
Morterone – MappaPosizione del comune di Morterone nella provincia di Lecco,Morterone – MappaPosizione del comune di Morterone nella provincia di Lecco
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
