Calolziocorte comune,Calolziocorte comune.1
,
Calolziocorte – VedutaCalolziocorte e il lago di Olginate,Calolziocorte – VedutaCalolziocorte e il lago di Olginate
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lecco
Amministrazione,Amministrazione
Sindaco,Marco Ghezzi (Lega Nord) dal 10-6-2018
Territorio,Territorio
Coordinate,45°48′N 9°26′E
Altitudine,241 m s.l.m.
Superficie,"9,1 km²"
Abitanti,13 609[1] (30-11-2025)
Densità,"1 495,49 ab./km²"
Frazioni,"Calolzio, Corte, Foppenico, Lorentino, Pascolo, Rossino, Sala, Sopracornola[2]"
Comuni confinanti,"Brivio, Carenno, Erve, Monte Marenzo, Olginate, Torre de' Busi (BG), Vercurago"
Altre informazioni,Altre informazioni
Cod. postale,23801
Prefisso,0341
Fuso orario,UTC+1
Codice ISTAT,097013
Cod. catastale,B423
Targa,LC
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 412 GG[4]"
Nome abitanti,calolziesi
Patrono,san Martino
Giorno festivo,11 novembre
Cartografia,Cartografia
Calolziocorte,Calolziocorte
Calolziocorte – MappaPosizione del comune di Calolziocorte nella provincia di Lecco,Calolziocorte – MappaPosizione del comune di Calolziocorte nella provincia di Lecco
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
