Suello comune,Suello comune.1
,
Suello – Veduta,Suello – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lecco
Amministrazione,Amministrazione
Sindaco,Angelo Giacomo Valsecchi (lista civica) dal 7-6-2019
Territorio,Territorio
Coordinate,45°49′N 9°19′E
Altitudine,275 m s.l.m.
Superficie,"2,63 km²"
Abitanti,1 707[1] (30-11-2025)
Densità,"649,05 ab./km²"
Frazioni,"Boroncello, Borima"
Comuni confinanti,"Annone di Brianza, Cesana Brianza, Civate"
Altre informazioni,Altre informazioni
Cod. postale,23867
Prefisso,031
Fuso orario,UTC+1
Codice ISTAT,097078
Cod. catastale,I996
Targa,LC
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 460 GG[3]"
Nome abitanti,suellesi
Patrono,"santi Quirico e Giulitta, san Biagio"
Giorno festivo,3 febbraio
Cartografia,Cartografia
Suello,Suello
Suello – MappaPosizione del comune di Suello nella provincia di Lecco,Suello – MappaPosizione del comune di Suello nella provincia di Lecco
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
