Moggio comune,Moggio comune.1
,
Moggio – Veduta,Moggio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lecco
Amministrazione,Amministrazione
Sindaco,Mariangela Colombo dal 9-6-2024
Territorio,Territorio
Coordinate,45°55′56.16″N 9°29′16.47″E
Altitudine,890 m s.l.m.
Superficie,"13,43 km²"
Abitanti,493[1] (30-11-2025)
Densità,"36,71 ab./km²"
Frazioni,Piani di Artavaggio
Comuni confinanti,"Barzio, Cassina Valsassina, Morterone, Vedeseta (BG)"
Altre informazioni,Altre informazioni
Cod. postale,23817
Prefisso,0341
Fuso orario,UTC+1
Codice ISTAT,097050
Cod. catastale,F265
Targa,LC
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 330 GG[3]"
Nome abitanti,moggesi
Patrono,san Francesco
Giorno festivo,4 ottobre
Cartografia,Cartografia
Moggio,Moggio
Moggio – MappaPosizione del comune di Moggio nella provincia di Lecco,Moggio – MappaPosizione del comune di Moggio nella provincia di Lecco
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
