Erve comune,Erve comune.1
,
Erve – VedutaLe pozze di Erve,Erve – VedutaLe pozze di Erve
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lecco
Amministrazione,Amministrazione
Sindaco,Giancarlo Valsecchi (lista civica)
Territorio,Territorio
Coordinate,45°49′N 9°27′E
Altitudine,559 m s.l.m.
Superficie,"6,2[1] km²"
Abitanti,650[2] (30-11-2025)
Densità,"104,84 ab./km²"
Frazioni,"Butto, Cabaggio, Cereda, Costalottiere, Nesolio, Pero, Pratomolone, Saina, Torre[3]"
Comuni confinanti,"Brumano (BG), Calolziocorte, Carenno, Lecco, Sant'Omobono Terme (BG), Vercurago"
Altre informazioni,Altre informazioni
Cod. postale,23805
Prefisso,0341
Fuso orario,UTC+1
Codice ISTAT,097034
Cod. catastale,D428
Targa,LC
Cl. sismica,zona 3 (sismicità bassa)[4]
Cl. climatica,"zona E, 2 863 GG[5]"
Nome abitanti,ervesi
Patrono,santa Maria Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Erve,Erve
Erve – MappaPosizione del comune di Erve nella provincia di Lecco,Erve – MappaPosizione del comune di Erve nella provincia di Lecco
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
