Cortenova comune,Cortenova comune.1
,
Cortenova – Veduta,Cortenova – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lecco
Amministrazione,Amministrazione
Sindaco,Sergio Galperti (lista civica) dal 15-06-2019
Territorio,Territorio
Coordinate,46°00′N 9°23′E
Altitudine,483 m s.l.m.
Superficie,"11,77 km²"
Abitanti,1 173[1] (30-11-2025)
Densità,"99,66 ab./km²"
Frazioni,"Bindo, Cortenova Centro, Piano, Prato San Pietro[2]"
Comuni confinanti,"Crandola Valsassina, Esino Lario, Primaluna, Taceno"
Altre informazioni,Altre informazioni
Cod. postale,23813
Prefisso,0341
Fuso orario,UTC+1
Codice ISTAT,097025
Cod. catastale,D065
Targa,LC
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 755 GG[4]"
Nome abitanti,cortenovesi
Patrono,santi Gervasio e Protasio
Giorno festivo,19 giugno
Cartografia,Cartografia
Cortenova,Cortenova
Cortenova – MappaPosizione del comune di Cortenova nella provincia di Lecco,Cortenova – MappaPosizione del comune di Cortenova nella provincia di Lecco
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
