Valgreghentino comune,Valgreghentino comune.1
,
Valgreghentino – VedutaChiesa dei SS. Giacomo e Filippo,Valgreghentino – VedutaChiesa dei SS. Giacomo e Filippo
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lecco
Amministrazione,Amministrazione
Sindaco,Matteo Colombo (lista civica Rinnovamento e partecipazione) dal 26-5-2019
Territorio,Territorio
Coordinate,45°47′N 9°25′E
Altitudine,304 m s.l.m.
Superficie,"6,25 km²"
Abitanti,3 355[1] (30-11-2025)
Densità,"536,8 ab./km²"
Frazioni,"Biglio, Dozio, Parzanella, Villa San Carlo, Buttarello, Buttello, Campiano, Cà Nova, Miglianico, Molino, Molinello, Taiello, Borneda, Parzano, Pianello, Ganza, Ganzetta, Lazzareto, Magliaso, Ospedaletto, Selvetta, Cà Berto"
Comuni confinanti,"Airuno, Colle Brianza, Galbiate, Olginate"
Altre informazioni,Altre informazioni
Cod. postale,23857
Prefisso,0341
Fuso orario,UTC+1
Codice ISTAT,097082
Cod. catastale,L581
Targa,LC
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 501 GG[3]"
Nome abitanti,valgreghentinesi
Patrono,san Giorgio
Giorno festivo,23 aprile
Cartografia,Cartografia
Valgreghentino,Valgreghentino
Valgreghentino – MappaPosizione del comune di Valgreghentino nella provincia di Lecco,Valgreghentino – MappaPosizione del comune di Valgreghentino nella provincia di Lecco
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
