Dolzago comune,Dolzago comune.1
,
Dolzago – VedutaTorre di Cogoredo,Dolzago – VedutaTorre di Cogoredo
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lecco
Amministrazione,Amministrazione
Sindaco,Paolo Lanfranchi (lista civica Impegno comune per Dolzago) dal 26-5-2019 (2º mandato)
Territorio,Territorio
Coordinate,45°46′N 9°20′E
Altitudine,298 m s.l.m.
Superficie,"2,26 km²"
Abitanti,2 533[1] (30-11-2025)
Densità,"1 120,8 ab./km²"
Comuni confinanti,"Barzago, Castello di Brianza, Colle Brianza, Ello, Oggiono, Sirone"
Altre informazioni,Altre informazioni
Cod. postale,23843
Prefisso,0341
Fuso orario,UTC+1
Codice ISTAT,097031
Cod. catastale,D327
Targa,LC
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 493 GG[3]"
Nome abitanti,dolzaghesi
Cartografia,Cartografia
Dolzago,Dolzago
Dolzago – MappaPosizione del comune di Dolzago nella provincia di Lecco,Dolzago – MappaPosizione del comune di Dolzago nella provincia di Lecco
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
