Sirtori comune,Sirtori comune.1
,
Sirtori – Veduta,Sirtori – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lecco
Amministrazione,Amministrazione
Sindaco,Matteo Rosa (centro-destra) dal 3-10-2021
Territorio,Territorio
Coordinate,45°44′14″N 9°20′15″E
Altitudine,457 m s.l.m.
Superficie,"4,29 km²"
Abitanti,2 764[1] (30-11-2025)
Densità,"644,29 ab./km²"
Frazioni,"Bevera[2], Ceregallo, Crippa, Travecchia, Villa"
Comuni confinanti,"Barzago, Barzanò, Castello di Brianza, La Valletta Brianza, Missaglia, Viganò"
Altre informazioni,Altre informazioni
Cod. postale,23896
Prefisso,039
Fuso orario,UTC+1
Codice ISTAT,097076
Cod. catastale,I761
Targa,LC
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 719 GG[4]"
Nome abitanti,sirtoresi
Patrono,Nabore e Felice
Giorno festivo,12 luglio
Cartografia,Cartografia
Sirtori,Sirtori
Sirtori – MappaPosizione del comune di Sirtori nella provincia di Lecco,Sirtori – MappaPosizione del comune di Sirtori nella provincia di Lecco
[www.comune.sirtori.lc.it Sito istituzionale],[www.comune.sirtori.lc.it Sito istituzionale]
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
