Colico comune,Colico comune.1
,
Colico – Veduta,Colico – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lecco
Amministrazione,Amministrazione
Sindaco,Monica Gilardi (lista civica di centro-destra Noi per Colico) dal 6-6-2016
Territorio,Territorio
Coordinate,46°08′N 9°22′E
Altitudine,218 m s.l.m.
Superficie,"35,30 km²"
Abitanti,8 186[1] (30-11-2025)
Densità,"231,9 ab./km²"
Frazioni,"Colico Piano (sede comunale), Curcio, Villatico, San Rocco, Posallo, Fontanedo, Olgiasca, Laghetto (Borgonuovo, La Cà, Corte, Piona, Fumiarga)."
Comuni confinanti,"Delebio (SO), Domaso (CO), Dongo (CO), Dorio, Gera Lario (CO), Gravedona ed Uniti (CO), Musso (CO), Pagnona, Pianello del Lario (CO), Piantedo (SO), Valvarrone, Vercana (CO)"
Altre informazioni,Altre informazioni
Cod. postale,23823
Prefisso,0341
Fuso orario,UTC+1
Codice ISTAT,097023
Cod. catastale,C839
Targa,LC
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 243 GG[3]"
Nome abitanti,colichesi
Patrono,san Giorgio
Cartografia,Cartografia
Colico,Colico
Colico – MappaPosizione del comune di Colico nella provincia di Lecco,Colico – MappaPosizione del comune di Colico nella provincia di Lecco
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
